lat,lon,fishing_hours
-2.6,-84.5,208.91910000000001
-4.5,-85.6,208.8213
-2.4,-85.1,208.7365
-10.5,-78.4,208.5739
-15.0,-85.5,208.5727
-5.9,-85.6,208.3229
-17.7,-71.4,208.2909
-2.8,-86.0,207.7517
-15.1,-84.3,207.4775
-11.6,-78.1,207.3421
-6.2,-85.4,207.103
-5.6,-86.0,207.0667
-12.0,-85.7,207.0572
-13.2,-81.1,206.9621
-11.3,-81.7,206.952
-3.8,-85.7,206.6533
-20.0,-74.4,206.5301
-17.5,-79.1,206.4453
-5.3,-85.9,206.2561
-17.2,-79.8,206.2437
-3.3,-85.0,205.94219999999999
-20.0,-76.4,205.5365
-11.2,-81.6,205.4807
-5.6,-85.5,204.9783
-11.5,-78.0,204.9734
-2.3,-85.4,204.5984
-12.9,-76.9,204.5648
-18.9,-78.0,204.4687
-3.0,-85.4,204.2883
-9.4,-79.6,204.0349
-13.4,-81.1,203.498
-14.0,-76.7,203.1696
-17.2,-80.0,202.7952
-5.8,-85.0,202.5208
-12.9,-81.1,202.4111
-9.1,-79.4,202.339
-18.9,-77.9,202.0648
-14.0,-80.6,202.0632
-15.1,-84.2,201.7778
-10.6,-78.2,201.423
-5.2,-85.8,201.4166
-19.8,-76.4,201.2305
-3.8,-86.0,201.1864
-17.1,-80.1,201.1489
-18.1,-78.3,201.0323
-2.4,-85.2,200.9952
-12.3,-82.0,200.802
-5.4,-85.4,200.8001
-16.4,-79.7,200.68779999999998
-5.0,-85.9,200.6832
-2.3,-85.0,200.6139
-2.3,-85.1,200.3452
-5.0,-86.0,200.2721
-13.9,-84.7,199.9793
-5.1,-86.0,199.6242
-9.9,-79.3,199.5909
-9.0,-79.4,199.5854
-4.8,-85.9,199.4013
-10.4,-78.6,199.2465
-15.7,-80.1,199.1809
-2.5,-85.4,199.0637
-19.7,-76.5,198.9394
-5.7,-85.6,198.7478
-18.1,-79.1,198.6968
-19.5,-75.7,198.3984
-5.5,-85.1,198.3822
-8.2,-79.4,197.9668
-17.0,-79.2,197.8178
-11.4,-81.6,197.6369
-10.6,-82.1,197.6087
-13.3,-83.7,197.5038
-17.5,-78.8,197.4806
-16.5,-79.7,196.6924
-14.1,-80.6,196.4006
-7.3,-80.1,196.3418
-11.5,-77.8,196.1055
-4.2,-85.8,194.5902
-16.7,-80.1,194.5472
-12.5,-81.9,194.4817
-19.7,-75.7,194.4145
-10.0,-78.4,194.2798
-6.1,-85.2,194.0685
-7.1,-80.8,193.5663
-17.6,-78.7,193.3079
-5.4,-84.8,193.2327
-10.9,-78.0,193.1687
-9.8,-79.1,193.1387
-18.3,-70.7,192.2152
-15.3,-80.4,192.207
-12.4,-77.7,191.6008
-2.2,-85.1,191.5439
-6.0,-85.3,191.3493
-16.8,-79.3,191.3128
-10.4,-78.7,191.2026
-9.6,-79.9,190.4599
-16.3,-79.9,190.3294
-19.6,-76.2,190.3204
-9.1,-79.3,190.2695
-4.4,-85.7,189.8392
-2.2,-85.6,189.8362
-16.7,-79.8,189.2736
-17.3,-80.0,189.0717
-16.3,-79.7,189.04829999999998
